Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Zoyamor Philander Herodes Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) the fire dragon, (American) waterfall
Maro Emeterio Philander Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) lover of mankind, (French) merry lord; jailer
Maro Bonito Emeterio Zoyamor ::: (Japanese) myself, (Latin) worthy, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Maro Zoyamor Waterfall ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (American) waterfall
Maro Yorick Gaylord Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (French) merry lord; jailer, (English) son of Roger
Maro Zoyamor Hodgson Blackburn ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) son of Roger, (Scottish) black brook
Zoyamor Bonito Renatus Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Italian) reborn, (American) waterfall
Zoyamor Herodes Blackburn Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Scottish) black brook, (English) dear friend
Reginald Yorick Maro Wright ::: (English) king's advisor, (Scandinavian) a form of George, (Japanese) myself, (English) maker
Zoyamor Maro Blackburn Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Scottish) black brook, (English) dear friend
Maro Androcles Emeterio Wright ::: (Japanese) myself, (Greek) man covered with glory, (Greek) he who deserves affection, (English) maker
Zoyamor Quigley Wright Darwin ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) maker, (English) dear friend
Reginald Maro Zoyamor Gaylord ::: (English) king's advisor, (Japanese) myself, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Maro Waterfall Androcles Hodgson ::: (Japanese) myself, (American) waterfall, (Greek) man covered with glory, (English) son of Roger
Maro Bonito Philander Gaylord ::: (Japanese) myself, (Latin) worthy, (Greek) lover of mankind, (French) merry lord; jailer
Maro Reginald Renatus Blackburn ::: (Japanese) myself, (English) king's advisor, (Italian) reborn, (Scottish) black brook
Maro Zoyamor Herodes Wright ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (English) maker
Zoyamor Bonito NeoWilliams Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (American) new Williams, (Scottish) black brook
Reginald Bonito Felix Gaylord ::: (English) king's advisor, (Latin) worthy, (Latin) fortunate; happy, (French) merry lord; jailer
Zoyamor Phoenix Blackburn Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Scottish) black brook, (French) merry lord; jailer
Reginald Fileas Quigley Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Zoyamor Waterfall Yorick Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Scandinavian) a form of George, (English) maker
Reginald Renatus Bonito Wright ::: (English) king's advisor, (Italian) reborn, (Latin) worthy, (English) maker
Maro Emeterio Reginald Darwin ::: (Japanese) myself, (Greek) he who deserves affection, (English) king's advisor, (English) dear friend
Zoyamor Philander Blackburn Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Scottish) black brook, (English) son of Roger
Reginald Quigley Emeterio Darwin ::: (English) king's advisor, (Irish) maternal side, (Greek) he who deserves affection, (English) dear friend
Zoyamor Waterfall Philander Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Greek) lover of mankind, (English) maker
Zoyamor Percival Herodes Blackburn ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) the fire dragon, (Scottish) black brook
Reginald Phoenix Fileas Darwin ::: (English) king's advisor, (English) phoenix, (Greek) he who loves deeply, (English) dear friend
Zoyamor Bonito Hodgson Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (English) son of Roger, (English) maker
Zoyamor Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Scottish) black brook
Reginald Phoenix Yorick Blackburn ::: (English) king's advisor, (English) phoenix, (Scandinavian) a form of George, (Scottish) black brook
Reginald Felix Bonito Zoyamor ::: (English) king's advisor, (Latin) fortunate; happy, (Latin) worthy, (Greek/Latin/me) lover of all living beings
Zoyamor Percival Herodes Gaylord ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Philander Bonito Hodgson ::: (English) king's advisor, (Greek) lover of mankind, (Latin) worthy, (English) son of Roger
Maro Zoyamor NeoWilliams ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (American) new Williams
Reginald Zoyamor Gaylord Darwin ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer, (English) dear friend
Maro Yorick Zoyamor ::: (Japanese) myself, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Maro Reginald Waterfall Wright ::: (Japanese) myself, (English) king's advisor, (American) waterfall, (English) maker
Zoyamor Yorick Wright ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) maker
Maro Herodes Reginald NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (English) king's advisor, (American) new Williams
Maro Androcles Waterfall ::: (Japanese) myself, (Greek) man covered with glory, (American) waterfall
Maro Fileas Waterfall Darwin ::: (Japanese) myself, (Greek) he who loves deeply, (American) waterfall, (English) dear friend
Maro Zoyamor Gaylord Hodgson ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer, (English) son of Roger
Reginald Quigley Waterfall Zoyamor ::: (English) king's advisor, (Irish) maternal side, (American) waterfall, (Greek/Latin/me) lover of all living beings
Maro Bonito Blackburn Gaylord ::: (Japanese) myself, (Latin) worthy, (Scottish) black brook, (French) merry lord; jailer
Maro Herodes Hodgson Darwin ::: (Japanese) myself, (Greek) the fire dragon, (English) son of Roger, (English) dear friend
Zoyamor Renatus Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) dear friend, (American) new Williams
Zoyamor Emeterio Phoenix NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) phoenix, (American) new Williams
Maro Fileas Philander Gaylord ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) lover of mankind, (French) merry lord; jailer
Maro Emeterio Felix Blackburn ::: (Japanese) myself, (Greek) he who deserves affection, (Latin) fortunate; happy, (Scottish) black brook
Reginald Androcles Herodes Gaylord ::: (English) king's advisor, (Greek) man covered with glory, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Bonito Blackburn Hodgson ::: (English) king's advisor, (Latin) worthy, (Scottish) black brook, (English) son of Roger
Zoyamor Maro Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Scottish) black brook
Reginald Maro Yorick Hodgson ::: (English) king's advisor, (Japanese) myself, (Scandinavian) a form of George, (English) son of Roger
Zoyamor Emeterio Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) merry lord; jailer, (English) maker
Zoyamor Maro NeoWilliams Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (American) new Williams, (Scottish) black brook
Zoyamor Quigley Blackburn NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Scottish) black brook, (American) new Williams
Reginald Renatus Herodes NeoWilliams ::: (English) king's advisor, (Italian) reborn, (Greek) the fire dragon, (American) new Williams
Reginald Philander Androcles Hodgson ::: (English) king's advisor, (Greek) lover of mankind, (Greek) man covered with glory, (English) son of Roger
Zoyamor Androcles Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (American) waterfall
Maro Percival Fileas Zoyamor ::: (Japanese) myself, (French) pierce the valley, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings
Zoyamor Maro Bonito Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) worthy, (Scottish) black brook
Zoyamor Renatus Darwin Hodgson ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) dear friend, (English) son of Roger
Zoyamor Philander NeoWilliams Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (American) new Williams, (English) son of Roger
Zoyamor Maro Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) dear friend, (American) new Williams
Maro Yorick Phoenix Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (English) phoenix, (Scottish) black brook
Maro Androcles Hodgson Gaylord ::: (Japanese) myself, (Greek) man covered with glory, (English) son of Roger, (French) merry lord; jailer
Maro Felix Phoenix Darwin ::: (Japanese) myself, (Latin) fortunate; happy, (English) phoenix, (English) dear friend
Reginald Philander Androcles Darwin ::: (English) king's advisor, (Greek) lover of mankind, (Greek) man covered with glory, (English) dear friend
Maro Reginald Androcles Hodgson ::: (Japanese) myself, (English) king's advisor, (Greek) man covered with glory, (English) son of Roger
Zoyamor Androcles Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Greek) he who loves deeply, (American) waterfall
Maro Percival Blackburn Darwin ::: (Japanese) myself, (French) pierce the valley, (Scottish) black brook, (English) dear friend
Reginald Fileas Phoenix NeoWilliams ::: (English) king's advisor, (Greek) he who loves deeply, (English) phoenix, (American) new Williams
Maro Yorick Fileas Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) he who loves deeply, (Scottish) black brook
Zoyamor Quigley Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) son of Roger
Reginald Felix Hodgson Wright ::: (English) king's advisor, (Latin) fortunate; happy, (English) son of Roger, (English) maker
Zoyamor Philander Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) the fire dragon, (American) new Williams
Reginald Percival Renatus Hodgson ::: (English) king's advisor, (French) pierce the valley, (Italian) reborn, (English) son of Roger
Reginald Fileas Darwin ::: (English) king's advisor, (Greek) he who loves deeply, (English) dear friend
Zoyamor Renatus Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Japanese) myself, (French) merry lord; jailer
Reginald Philander Quigley Zoyamor ::: (English) king's advisor, (Greek) lover of mankind, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Reginald Percival Gaylord Hodgson ::: (English) king's advisor, (French) pierce the valley, (French) merry lord; jailer, (English) son of Roger
Zoyamor Percival Philander Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) lover of mankind, (American) waterfall
Reginald Phoenix Quigley Darwin ::: (English) king's advisor, (English) phoenix, (Irish) maternal side, (English) dear friend
Reginald Quigley Herodes NeoWilliams ::: (English) king's advisor, (Irish) maternal side, (Greek) the fire dragon, (American) new Williams
Reginald Maro NeoWilliams Darwin ::: (English) king's advisor, (Japanese) myself, (American) new Williams, (English) dear friend
Reginald Zoyamor Androcles Blackburn ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Scottish) black brook
Zoyamor Phoenix Philander Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Greek) lover of mankind, (Scottish) black brook
Reginald Yorick Waterfall Zoyamor ::: (English) king's advisor, (Scandinavian) a form of George, (American) waterfall, (Greek/Latin/me) lover of all living beings
Reginald Percival Hodgson ::: (English) king's advisor, (French) pierce the valley, (English) son of Roger
Reginald Yorick Bonito Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (Latin) worthy, (English) son of Roger
Maro Felix Emeterio Waterfall ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) he who deserves affection, (American) waterfall
Reginald Felix Hodgson Darwin ::: (English) king's advisor, (Latin) fortunate; happy, (English) son of Roger, (English) dear friend
Maro Yorick Felix Darwin ::: (Japanese) myself, (Scandinavian) a form of George, (Latin) fortunate; happy, (English) dear friend
Maro Emeterio Quigley Darwin ::: (Japanese) myself, (Greek) he who deserves affection, (Irish) maternal side, (English) dear friend
Maro Fileas NeoWilliams Gaylord ::: (Japanese) myself, (Greek) he who loves deeply, (American) new Williams, (French) merry lord; jailer
Zoyamor Waterfall Bonito Blackburn ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Latin) worthy, (Scottish) black brook
Maro Renatus Yorick Zoyamor ::: (Japanese) myself, (Italian) reborn, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Reginald Renatus Darwin Gaylord ::: (English) king's advisor, (Italian) reborn, (English) dear friend, (French) merry lord; jailer
Maro Fileas Gaylord ::: (Japanese) myself, (Greek) he who loves deeply, (French) merry lord; jailer
Maro Androcles Renatus Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (Italian) reborn, (Scottish) black brook
